ward_code,ward_name,ward_type,district_name,province_name
109,Phường Bưởi,Phường,Quận Tây Hồ,Thành phố Hà Nội
112,Phường Thụy Khuê,Phường,Quận Tây Hồ,Thành phố Hà Nội
115,Phường Thượng Thanh,Phường,Quận Long Biên,Thành phố Hà Nội
118,Phường Ngọc Thụy,Phường,Quận Long Biên,Thành phố Hà Nội
121,Phường Giang Biên,Phường,Quận Long Biên,Thành phố Hà Nội
124,Phường Đức Giang,Phường,Quận Long Biên,Thành phố Hà Nội
127,Phường Việt Hưng,Phường,Quận Long Biên,Thành phố Hà Nội
130,Phường Gia Thụy,Phường,Quận Long Biên,Thành phố Hà Nội
133,Phường Ngọc Lâm,Phường,Quận Long Biên,Thành phố Hà Nội
136,Phường Phúc Lợi,Phường,Quận Long Biên,Thành phố Hà Nội
139,Phường Bồ Đề,Phường,Quận Long Biên,Thành phố Hà Nội
145,Phường Long Biên,Phường,Quận Long Biên,Thành phố Hà Nội
148,Phường Thạch Bàn,Phường,Quận Long Biên,Thành phố Hà Nội
151,Phường Phúc Đồng,Phường,Quận Long Biên,Thành phố Hà Nội
154,Phường Cự Khối,Phường,Quận Long Biên,Thành phố Hà Nội
157,Phường Nghĩa Đô,Phường,Quận Cầu Giấy,Thành phố Hà Nội
160,Phường Nghĩa Tân,Phường,Quận Cầu Giấy,Thành phố Hà Nội
163,Phường Mai Dịch,Phường,Quận Cầu Giấy,Thành phố Hà Nội
166,Phường Dịch Vọng,Phường,Quận Cầu Giấy,Thành phố Hà Nội
167,Phường Dịch Vọng Hậu,Phường,Quận Cầu Giấy,Thành phố Hà Nội
169,Phường Quan Hoa,Phường,Quận Cầu Giấy,Thành phố Hà Nội
172,Phường Yên Hoà,Phường,Quận Cầu Giấy,Thành phố Hà Nội
175,Phường Trung Hoà,Phường,Quận Cầu Giấy,Thành phố Hà Nội
178,Phường Cát Linh,Phường,Quận Đống Đa,Thành phố Hà Nội
181,Phường Văn Miếu - Quốc Tử Giám,Phường,Quận Đống Đa,Thành phố Hà Nội
187,Phường Láng Thượng,Phường,Quận Đống Đa,Thành phố Hà Nội
190,Phường Ô Chợ Dừa,Phường,Quận Đống Đa,Thành phố Hà Nội
193,Phường Văn Chương,Phường,Quận Đống Đa,Thành phố Hà Nội
196,Phường Hàng Bột,Phường,Quận Đống Đa,Thành phố Hà Nội
199,Phường Láng Hạ,Phường,Quận Đống Đa,Thành phố Hà Nội
202,Phường Khâm Thiên,Phường,Quận Đống Đa,Thành phố Hà Nội
205,Phường Thổ Quan,Phường,Quận Đống Đa,Thành phố Hà Nội
208,Phường Nam Đồng,Phường,Quận Đống Đa,Thành phố Hà Nội
214,Phường Quang Trung,Phường,Quận Đống Đa,Thành phố Hà Nội
217,Phường Trung Liệt,Phường,Quận Đống Đa,Thành phố Hà Nội
226,Phường Phương Liên - Trung Tự,Phường,Quận Đống Đa,Thành phố Hà Nội
229,Phường Kim Liên,Phường,Quận Đống Đa,Thành phố Hà Nội
232,Phường Phương Mai,Phường,Quận Đống Đa,Thành phố Hà Nội
235,Phường Thịnh Quang,Phường,Quận Đống Đa,Thành phố Hà Nội
238,Phường Khương Thượng,Phường,Quận Đống Đa,Thành phố Hà Nội
241,Phường Nguyễn Du,Phường,Quận Hai Bà Trưng,Thành phố Hà Nội
244,Phường Bạch Đằng,Phường,Quận Hai Bà Trưng,Thành phố Hà Nội
247,Phường Phạm Đình Hổ,Phường,Quận Hai Bà Trưng,Thành phố Hà Nội
256,Phường Lê Đại Hành,Phường,Quận Hai Bà Trưng,Thành phố Hà Nội
259,Phường Đồng Nhân,Phường,Quận Hai Bà Trưng,Thành phố Hà Nội
262,Phường Phố Huế,Phường,Quận Hai Bà Trưng,Thành phố Hà Nội
268,Phường Thanh Lương,Phường,Quận Hai Bà Trưng,Thành phố Hà Nội
271,Phường Thanh Nhàn,Phường,Quận Hai Bà Trưng,Thành phố Hà Nội
277,Phường Bách Khoa,Phường,Quận Hai Bà Trưng,Thành phố Hà Nội
280,Phường Đồng Tâm,Phường,Quận Hai Bà Trưng,Thành phố Hà Nội
283,Phường Vĩnh Tuy,Phường,Quận Hai Bà Trưng,Thành phố Hà Nội
289,Phường Quỳnh Mai,Phường,Quận Hai Bà Trưng,Thành phố Hà Nội
292,Phường Bạch Mai,Phường,Quận Hai Bà Trưng,Thành phố Hà Nội
295,Phường Minh Khai,Phường,Quận Hai Bà Trưng,Thành phố Hà Nội
298,Phường Trương Định,Phường,Quận Hai Bà Trưng,Thành phố Hà Nội
301,Phường Thanh Trì,Phường,Quận Hoàng Mai,Thành phố Hà Nội
304,Phường Vĩnh Hưng,Phường,Quận Hoàng Mai,Thành phố Hà Nội
307,Phường Định Công,Phường,Quận Hoàng Mai,Thành phố Hà Nội
310,Phường Mai Động,Phường,Quận Hoàng Mai,Thành phố Hà Nội
313,Phường Tương Mai,Phường,Quận Hoàng Mai,Thành phố Hà Nội
316,Phường Đại Kim,Phường,Quận Hoàng Mai,Thành phố Hà Nội
319,Phường Tân Mai,Phường,Quận Hoàng Mai,Thành phố Hà Nội
322,Phường Hoàng Văn Thụ,Phường,Quận Hoàng Mai,Thành phố Hà Nội
325,Phường Giáp Bát,Phường,Quận Hoàng Mai,Thành phố Hà Nội
328,Phường Lĩnh Nam,Phường,Quận Hoàng Mai,Thành phố Hà Nội
331,Phường Thịnh Liệt,Phường,Quận Hoàng Mai,Thành phố Hà Nội
334,Phường Trần Phú,Phường,Quận Hoàng Mai,Thành phố Hà Nội
337,Phường Hoàng Liệt,Phường,Quận Hoàng Mai,Thành phố Hà Nội
340,Phường Yên Sở,Phường,Quận Hoàng Mai,Thành phố Hà Nội
343,Phường Nhân Chính,Phường,Quận Thanh Xuân,Thành phố Hà Nội
346,Phường Thượng Đình,Phường,Quận Thanh Xuân,Thành phố Hà Nội
349,Phường Khương Trung,Phường,Quận Thanh Xuân,Thành phố Hà Nội
352,Phường Khương Mai,Phường,Quận Thanh Xuân,Thành phố Hà Nội
355,Phường Thanh Xuân Trung,Phường,Quận Thanh Xuân,Thành phố Hà Nội
358,Phường Phương Liệt,Phường,Quận Thanh Xuân,Thành phố Hà Nội
364,Phường Khương Đình,Phường,Quận Thanh Xuân,Thành phố Hà Nội
367,Phường Thanh Xuân Bắc,Phường,Quận Thanh Xuân,Thành phố Hà Nội
373,Phường Hạ Đình,Phường,Quận Thanh Xuân,Thành phố Hà Nội
376,Thị trấn Sóc Sơn,Thị trấn,Huyện Sóc Sơn,Thành phố Hà Nội
379,Xã Bắc Sơn,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
382,Xã Minh Trí,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
385,Xã Hồng Kỳ,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
388,Xã Nam Sơn,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
391,Xã Trung Giã,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
394,Xã Tân Hưng,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
397,Xã Minh Phú,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
400,Xã Phù Linh,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
403,Xã Bắc Phú,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
406,Xã Tân Minh,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
409,Xã Quang Tiến,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
412,Xã Hiền Ninh,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
415,Xã Tân Dân,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
418,Xã Tiên Dược,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
421,Xã Việt Long,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
424,Xã Xuân Giang,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
427,Xã Mai Đình,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
430,Xã Đức Hoà,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
433,Xã Thanh Xuân,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
436,Xã Đông Xuân,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
439,Xã Kim Lũ,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
442,Xã Phú Cường,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
445,Xã Phú Minh,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
448,Xã Phù Lỗ,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
451,Xã Xuân Thu,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
454,Thị trấn Đông Anh,Thị trấn,Huyện Đông Anh,Thành phố Hà Nội
457,Xã Xuân Nộn,Xã,Huyện Đông Anh,Thành phố Hà Nội
460,Xã Thuỵ Lâm,Xã,Huyện Đông Anh,Thành phố Hà Nội
463,Xã Bắc Hồng,Xã,Huyện Đông Anh,Thành phố Hà Nội
466,Xã Nguyên Khê,Xã,Huyện Đông Anh,Thành phố Hà Nội
469,Xã Nam Hồng,Xã,Huyện Đông Anh,Thành phố Hà Nội
472,Xã Tiên Dương,Xã,Huyện Đông Anh,Thành phố Hà Nội
475,Xã Vân Hà,Xã,Huyện Đông Anh,Thành phố Hà Nội
478,Xã Uy Nỗ,Xã,Huyện Đông Anh,Thành phố Hà Nội
481,Xã Vân Nội,Xã,Huyện Đông Anh,Thành phố Hà Nội
484,Xã Liên Hà,Xã,Huyện Đông Anh,Thành phố Hà Nội
487,Xã Việt Hùng,Xã,Huyện Đông Anh,Thành phố Hà Nội
490,Xã Kim Nỗ,Xã,Huyện Đông Anh,Thành phố Hà Nội
493,Xã Kim Chung,Xã,Huyện Đông Anh,Thành phố Hà Nội
496,Xã Dục Tú,Xã,Huyện Đông Anh,Thành phố Hà Nội
499,Xã Đại Mạch,Xã,Huyện Đông Anh,Thành phố Hà Nội
502,Xã Vĩnh Ngọc,Xã,Huyện Đông Anh,Thành phố Hà Nội
505,Xã Cổ Loa,Xã,Huyện Đông Anh,Thành phố Hà Nội
508,Xã Hải Bối,Xã,Huyện Đông Anh,Thành phố Hà Nội
511,Xã Xuân Canh,Xã,Huyện Đông Anh,Thành phố Hà Nội
514,Xã Võng La,Xã,Huyện Đông Anh,Thành phố Hà Nội
517,Xã Tàm Xá,Xã,Huyện Đông Anh,Thành phố Hà Nội
520,Xã Mai Lâm,Xã,Huyện Đông Anh,Thành phố Hà Nội
523,Xã Đông Hội,Xã,Huyện Đông Anh,Thành phố Hà Nội
526,Thị trấn Yên Viên,Thị trấn,Huyện Gia Lâm,Thành phố Hà Nội
529,Xã Yên Thường,Xã,Huyện Gia Lâm,Thành phố Hà Nội
532,Xã Yên Viên,Xã,Huyện Gia Lâm,Thành phố Hà Nội
535,Xã Ninh Hiệp,Xã,Huyện Gia Lâm,Thành phố Hà Nội
541,Xã Thiên Đức,Xã,Huyện Gia Lâm,Thành phố Hà Nội
544,Xã Phù Đổng,Xã,Huyện Gia Lâm,Thành phố Hà Nội
550,Xã Lệ Chi,Xã,Huyện Gia Lâm,Thành phố Hà Nội
553,Xã Cổ Bi,Xã,Huyện Gia Lâm,Thành phố Hà Nội
556,Xã Đặng Xá,Xã,Huyện Gia Lâm,Thành phố Hà Nội
562,Xã Phú Sơn,Xã,Huyện Gia Lâm,Thành phố Hà Nội
565,Thị trấn Trâu Quỳ,Thị trấn,Huyện Gia Lâm,Thành phố Hà Nội
568,Xã Dương Quang,Xã,Huyện Gia Lâm,Thành phố Hà Nội
571,Xã Dương Xá,Xã,Huyện Gia Lâm,Thành phố Hà Nội
577,Xã Đa Tốn,Xã,Huyện Gia Lâm,Thành phố Hà Nội
580,Xã Kiêu Kỵ,Xã,Huyện Gia Lâm,Thành phố Hà Nội
583,Xã Bát Tràng,Xã,Huyện Gia Lâm,Thành phố Hà Nội
589,Xã Kim Đức,Xã,Huyện Gia Lâm,Thành phố Hà Nội
592,Phường Cầu Diễn,Phường,Quận Nam Từ Liêm,Thành phố Hà Nội
622,Phường Xuân Phương,Phường,Quận Nam Từ Liêm,Thành phố Hà Nội
623,Phường Phương Canh,Phường,Quận Nam Từ Liêm,Thành phố Hà Nội
625,Phường Mỹ Đình 1,Phường,Quận Nam Từ Liêm,Thành phố Hà Nội
626,Phường Mỹ Đình 2,Phường,Quận Nam Từ Liêm,Thành phố Hà Nội
628,Phường Tây Mỗ,Phường,Quận Nam Từ Liêm,Thành phố Hà Nội
631,Phường Mễ Trì,Phường,Quận Nam Từ Liêm,Thành phố Hà Nội
632,Phường Phú Đô,Phường,Quận Nam Từ Liêm,Thành phố Hà Nội
634,Phường Đại Mỗ,Phường,Quận Nam Từ Liêm,Thành phố Hà Nội
637,Phường Trung Văn,Phường,Quận Nam Từ Liêm,Thành phố Hà Nội
640,Thị trấn Văn Điển,Thị trấn,Huyện Thanh Trì,Thành phố Hà Nội
643,Xã Tân Triều,Xã,Huyện Thanh Trì,Thành phố Hà Nội
646,Xã Thanh Liệt,Xã,Huyện Thanh Trì,Thành phố Hà Nội
649,Xã Tả Thanh Oai,Xã,Huyện Thanh Trì,Thành phố Hà Nội
652,Xã Hữu Hoà,Xã,Huyện Thanh Trì,Thành phố Hà Nội
655,Xã Tam Hiệp,Xã,Huyện Thanh Trì,Thành phố Hà Nội
658,Xã Tứ Hiệp,Xã,Huyện Thanh Trì,Thành phố Hà Nội
661,Xã Yên Mỹ,Xã,Huyện Thanh Trì,Thành phố Hà Nội
664,Xã Vĩnh Quỳnh,Xã,Huyện Thanh Trì,Thành phố Hà Nội
667,Xã Ngũ Hiệp,Xã,Huyện Thanh Trì,Thành phố Hà Nội
670,Xã Duyên Hà,Xã,Huyện Thanh Trì,Thành phố Hà Nội
673,Xã Ngọc Hồi,Xã,Huyện Thanh Trì,Thành phố Hà Nội
676,Xã Vạn Phúc,Xã,Huyện Thanh Trì,Thành phố Hà Nội
679,Xã Đại áng,Xã,Huyện Thanh Trì,Thành phố Hà Nội
682,Xã Liên Ninh,Xã,Huyện Thanh Trì,Thành phố Hà Nội
685,Xã Đông Mỹ,Xã,Huyện Thanh Trì,Thành phố Hà Nội
595,Phường Thượng Cát,Phường,Quận Bắc Từ Liêm,Thành phố Hà Nội
598,Phường Liên Mạc,Phường,Quận Bắc Từ Liêm,Thành phố Hà Nội
601,Phường Đông Ngạc,Phường,Quận Bắc Từ Liêm,Thành phố Hà Nội
602,Phường Đức Thắng,Phường,Quận Bắc Từ Liêm,Thành phố Hà Nội
604,Phường Thụy Phương,Phường,Quận Bắc Từ Liêm,Thành phố Hà Nội
607,Phường Tây Tựu,Phường,Quận Bắc Từ Liêm,Thành phố Hà Nội
610,Phường Xuân Đỉnh,Phường,Quận Bắc Từ Liêm,Thành phố Hà Nội
611,Phường Xuân Tảo,Phường,Quận Bắc Từ Liêm,Thành phố Hà Nội
613,Phường Minh Khai,Phường,Quận Bắc Từ Liêm,Thành phố Hà Nội
616,Phường Cổ Nhuế 1,Phường,Quận Bắc Từ Liêm,Thành phố Hà Nội
617,Phường Cổ Nhuế 2,Phường,Quận Bắc Từ Liêm,Thành phố Hà Nội
619,Phường Phú Diễn,Phường,Quận Bắc Từ Liêm,Thành phố Hà Nội
620,Phường Phúc Diễn,Phường,Quận Bắc Từ Liêm,Thành phố Hà Nội
8973,Thị trấn Chi Đông,Thị trấn,Huyện Mê Linh,Thành phố Hà Nội
8974,Xã Đại Thịnh,Xã,Huyện Mê Linh,Thành phố Hà Nội
8977,Xã Kim Hoa,Xã,Huyện Mê Linh,Thành phố Hà Nội
8980,Xã Thạch Đà,Xã,Huyện Mê Linh,Thành phố Hà Nội
8983,Xã Tiến Thắng,Xã,Huyện Mê Linh,Thành phố Hà Nội
8986,Xã Tự Lập,Xã,Huyện Mê Linh,Thành phố Hà Nội
8989,Thị trấn Quang Minh,Thị trấn,Huyện Mê Linh,Thành phố Hà Nội
8992,Xã Thanh Lâm,Xã,Huyện Mê Linh,Thành phố Hà Nội
8995,Xã Tam Đồng,Xã,Huyện Mê Linh,Thành phố Hà Nội
8998,Xã Liên Mạc,Xã,Huyện Mê Linh,Thành phố Hà Nội
9004,Xã Chu Phan,Xã,Huyện Mê Linh,Thành phố Hà Nội
9007,Xã Tiến Thịnh,Xã,Huyện Mê Linh,Thành phố Hà Nội
9010,Xã Mê Linh,Xã,Huyện Mê Linh,Thành phố Hà Nội
9013,Xã Văn Khê,Xã,Huyện Mê Linh,Thành phố Hà Nội
9016,Xã Hoàng Kim,Xã,Huyện Mê Linh,Thành phố Hà Nội
9019,Xã Tiền Phong,Xã,Huyện Mê Linh,Thành phố Hà Nội
9022,Xã Tráng Việt,Xã,Huyện Mê Linh,Thành phố Hà Nội
9538,Phường Quang Trung,Phường,Quận Hà Đông,Thành phố Hà Nội
9541,Phường Mộ Lao,Phường,Quận Hà Đông,Thành phố Hà Nội
9542,Phường Văn Quán,Phường,Quận Hà Đông,Thành phố Hà Nội
9544,Phường Vạn Phúc,Phường,Quận Hà Đông,Thành phố Hà Nội
9551,Phường La Khê,Phường,Quận Hà Đông,Thành phố Hà Nội
9552,Phường Phú La,Phường,Quận Hà Đông,Thành phố Hà Nội
9553,Phường Phúc La,Phường,Quận Hà Đông,Thành phố Hà Nội
9556,Phường Hà Cầu,Phường,Quận Hà Đông,Thành phố Hà Nội
9562,Phường Yên Nghĩa,Phường,Quận Hà Đông,Thành phố Hà Nội
9565,Phường Kiến Hưng,Phường,Quận Hà Đông,Thành phố Hà Nội
9568,Phường Phú Lãm,Phường,Quận Hà Đông,Thành phố Hà Nội
9571,Phường Phú Lương,Phường,Quận Hà Đông,Thành phố Hà Nội
9886,Phường Dương Nội,Phường,Quận Hà Đông,Thành phố Hà Nội
10117,Phường Đồng Mai,Phường,Quận Hà Đông,Thành phố Hà Nội
10123,Phường Biên Giang,Phường,Quận Hà Đông,Thành phố Hà Nội
9574,Phường Ngô Quyền,Phường,Thị xã Sơn Tây,Thành phố Hà Nội
9577,Phường Phú Thịnh,Phường,Thị xã Sơn Tây,Thành phố Hà Nội
9586,Phường Sơn Lộc,Phường,Thị xã Sơn Tây,Thành phố Hà Nội
9589,Phường Xuân Khanh,Phường,Thị xã Sơn Tây,Thành phố Hà Nội
9592,Xã Đường Lâm,Xã,Thị xã Sơn Tây,Thành phố Hà Nội
9595,Phường Viên Sơn,Phường,Thị xã Sơn Tây,Thành phố Hà Nội
9598,Xã Xuân Sơn,Xã,Thị xã Sơn Tây,Thành phố Hà Nội
9601,Phường Trung Hưng,Phường,Thị xã Sơn Tây,Thành phố Hà Nội
9604,Xã Thanh Mỹ,Xã,Thị xã Sơn Tây,Thành phố Hà Nội
9607,Phường Trung Sơn Trầm,Phường,Thị xã Sơn Tây,Thành phố Hà Nội
9610,Xã Kim Sơn,Xã,Thị xã Sơn Tây,Thành phố Hà Nội
9613,Xã Sơn Đông,Xã,Thị xã Sơn Tây,Thành phố Hà Nội
9616,Xã Cổ Đông,Xã,Thị xã Sơn Tây,Thành phố Hà Nội
9619,Thị trấn Tây Đằng,Thị trấn,Huyện Ba Vì,Thành phố Hà Nội
9625,Xã Phú Cường,Xã,Huyện Ba Vì,Thành phố Hà Nội
9628,Xã Cổ Đô,Xã,Huyện Ba Vì,Thành phố Hà Nội
9634,Xã Vạn Thắng,Xã,Huyện Ba Vì,Thành phố Hà Nội
9640,Xã Phong Vân,Xã,Huyện Ba Vì,Thành phố Hà Nội
9643,Xã Phú Đông,Xã,Huyện Ba Vì,Thành phố Hà Nội
9646,Xã Phú Hồng,Xã,Huyện Ba Vì,Thành phố Hà Nội
9649,Xã Phú Châu,Xã,Huyện Ba Vì,Thành phố Hà Nội
9652,Xã Thái Hòa,Xã,Huyện Ba Vì,Thành phố Hà Nội
9655,Xã Đồng Thái,Xã,Huyện Ba Vì,Thành phố Hà Nội
9658,Xã Phú Sơn,Xã,Huyện Ba Vì,Thành phố Hà Nội
9661,Xã Minh Châu,Xã,Huyện Ba Vì,Thành phố Hà Nội
9664,Xã Vật Lại,Xã,Huyện Ba Vì,Thành phố Hà Nội
9667,Xã Chu Minh,Xã,Huyện Ba Vì,Thành phố Hà Nội
9670,Xã Tòng Bạt,Xã,Huyện Ba Vì,Thành phố Hà Nội
9673,Xã Cẩm Lĩnh,Xã,Huyện Ba Vì,Thành phố Hà Nội
9676,Xã Sơn Đà,Xã,Huyện Ba Vì,Thành phố Hà Nội
9679,Xã Đông Quang,Xã,Huyện Ba Vì,Thành phố Hà Nội
9682,Xã Tiên Phong,Xã,Huyện Ba Vì,Thành phố Hà Nội
9685,Xã Thụy An,Xã,Huyện Ba Vì,Thành phố Hà Nội
9688,Xã Cam Thượng,Xã,Huyện Ba Vì,Thành phố Hà Nội
9691,Xã Thuần Mỹ,Xã,Huyện Ba Vì,Thành phố Hà Nội
9694,Xã Tản Lĩnh,Xã,Huyện Ba Vì,Thành phố Hà Nội
9697,Xã Ba Trại,Xã,Huyện Ba Vì,Thành phố Hà Nội
9700,Xã Minh Quang,Xã,Huyện Ba Vì,Thành phố Hà Nội
9703,Xã Ba Vì,Xã,Huyện Ba Vì,Thành phố Hà Nội
9706,Xã Vân Hòa,Xã,Huyện Ba Vì,Thành phố Hà Nội
9709,Xã Yên Bài,Xã,Huyện Ba Vì,Thành phố Hà Nội
9712,Xã Khánh Thượng,Xã,Huyện Ba Vì,Thành phố Hà Nội
9715,Thị trấn Phúc Thọ,Thị trấn,Huyện Phúc Thọ,Thành phố Hà Nội
9721,Xã Vân Phúc,Xã,Huyện Phúc Thọ,Thành phố Hà Nội
9724,Xã Nam Hà,Xã,Huyện Phúc Thọ,Thành phố Hà Nội
9727,Xã Xuân Đình,Xã,Huyện Phúc Thọ,Thành phố Hà Nội
9733,Xã Sen Phương,Xã,Huyện Phúc Thọ,Thành phố Hà Nội
9739,Xã Võng Xuyên,Xã,Huyện Phúc Thọ,Thành phố Hà Nội
9742,Xã Tích Lộc,Xã,Huyện Phúc Thọ,Thành phố Hà Nội
9745,Xã Long Thượng,Xã,Huyện Phúc Thọ,Thành phố Hà Nội
9751,Xã Hát Môn,Xã,Huyện Phúc Thọ,Thành phố Hà Nội
9757,Xã Thanh Đa,Xã,Huyện Phúc Thọ,Thành phố Hà Nội
9760,Xã Trạch Mỹ Lộc,Xã,Huyện Phúc Thọ,Thành phố Hà Nội
9763,Xã Phúc Hòa,Xã,Huyện Phúc Thọ,Thành phố Hà Nội
9766,Xã Ngọc Tảo,Xã,Huyện Phúc Thọ,Thành phố Hà Nội
9769,Xã Phụng Thượng,Xã,Huyện Phúc Thọ,Thành phố Hà Nội
9772,Xã Tam Thuấn,Xã,Huyện Phúc Thọ,Thành phố Hà Nội
9775,Xã Tam Hiệp,Xã,Huyện Phúc Thọ,Thành phố Hà Nội
9778,Xã Hiệp Thuận,Xã,Huyện Phúc Thọ,Thành phố Hà Nội
9781,Xã Liên Hiệp,Xã,Huyện Phúc Thọ,Thành phố Hà Nội
9784,Thị trấn Phùng,Thị trấn,Huyện Đan Phượng,Thành phố Hà Nội
9787,Xã Trung Châu,Xã,Huyện Đan Phượng,Thành phố Hà Nội
9790,Xã Thọ An,Xã,Huyện Đan Phượng,Thành phố Hà Nội
9793,Xã Thọ Xuân,Xã,Huyện Đan Phượng,Thành phố Hà Nội
9796,Xã Hồng Hà,Xã,Huyện Đan Phượng,Thành phố Hà Nội
9799,Xã Liên Hồng,Xã,Huyện Đan Phượng,Thành phố Hà Nội
9802,Xã Liên Hà,Xã,Huyện Đan Phượng,Thành phố Hà Nội
9805,Xã Hạ Mỗ,Xã,Huyện Đan Phượng,Thành phố Hà Nội
9808,Xã Liên Trung,Xã,Huyện Đan Phượng,Thành phố Hà Nội
9811,Xã Phương Đình,Xã,Huyện Đan Phượng,Thành phố Hà Nội
9814,Xã Thượng Mỗ,Xã,Huyện Đan Phượng,Thành phố Hà Nội
9817,Xã Tân Hội,Xã,Huyện Đan Phượng,Thành phố Hà Nội
9820,Xã Tân Lập,Xã,Huyện Đan Phượng,Thành phố Hà Nội
9823,Xã Đan Phượng,Xã,Huyện Đan Phượng,Thành phố Hà Nội
9826,Xã Đồng Tháp,Xã,Huyện Đan Phượng,Thành phố Hà Nội
9829,Xã Song Phượng,Xã,Huyện Đan Phượng,Thành phố Hà Nội
9832,Thị trấn Trạm Trôi,Thị trấn,Huyện Hoài Đức,Thành phố Hà Nội
9835,Xã Đức Thượng,Xã,Huyện Hoài Đức,Thành phố Hà Nội
9838,Xã Minh Khai,Xã,Huyện Hoài Đức,Thành phố Hà Nội
9841,Xã Dương Liễu,Xã,Huyện Hoài Đức,Thành phố Hà Nội
9844,Xã Di Trạch,Xã,Huyện Hoài Đức,Thành phố Hà Nội
